V;HE11;EH11;HE12;HE21;HE31;TE01;TM01
2.946464646;1.957235218;0;0;2.938113515;0;2.698251752;2.838498181
2.987878788;1.96329225;0;0;2.966291091;0;2.714438284;2.866061451
3.029292929;1.969157532;0;0;2.991713069;0;2.730078583;2.892794759
3.070707071;1.974840968;0;0;3.014926686;0;2.745205787;2.918693261
3.112121212;1.980351771;0;0;3.036270132;0;2.759849828;2.94375481
3.153535354;1.985698521;0;0;3.055991252;0;2.774037884;2.96798014
3.194949495;1.990889219;0;0;3.074286502;0;2.78779474;2.99137294
3.236363636;1.995931335;0;0;3.091318168;0;2.801143095;3.013939862
3.277777778;2.000831849;0;0;3.107223498;0;2.81410381;3.03569044
3.319191919;2.005597292;0;0;3.122120221;0;2.826696119;3.056636942
3.360606061;2.01023378;0;0;3.136110264;0;2.838937809;3.076794169
3.402020202;2.014747047;0;0;3.149282433;0;2.850845373;3.09617921
3.443434343;2.019142475;0;0;3.161714478;0;2.862434141;3.114811157
3.484848485;2.02342512;0;0;3.173474729;0;2.873718394;3.132710808
3.526262626;2.02759974;0;0;3.184623446;0;2.884711464;3.149900362
3.567676768;2.031670809;0;0;3.195213924;0;2.895425819;3.166403115
3.609090909;2.035642547;0;0;3.205293441;0;2.905873144;3.182243163
3.650505051;2.039518933;0;0;3.214904044;0;2.916064404;3.197445131
3.691919192;2.043303725;0;0;3.224083234;0;2.926009909;3.212033919
3.733333333;2.047000471;0;0;3.232864537;0;2.935719362;3.226034476
3.774747475;2.050612529;0;0;3.241278008;0;2.945201912;3.239471599
3.816161616;2.054143078;0;0;3.249350654;0;2.954466194;3.252369766
3.857575758;2.057595129;3.846598223;0;3.257106804;0;2.96352037;3.264752992
3.898989899;2.060971537;3.869074605;0;3.264568426;0;2.972372163;3.276644711
3.94040404;2.064275012;3.890295171;0;3.271755405;0;2.981028886;3.288067679
3.981818182;2.067508126;3.91047523;3.98154998;3.27868578;0;2.989497477;3.299043913
4.023232323;2.070673327;3.929747592;4.022089136;3.285375953;0;2.99778452;3.309594626
4.064646465;2.073772939;3.948208445;4.06166134;3.29184087;0;3.005896271;3.319740202
4.106060606;2.076809178;3.965933101;4.100082994;3.298094178;0;3.013838677;3.329500173
4.147474747;2.079784152;3.982983279;4.13728062;3.304148369;0;3.021617401;3.338893204
4.188888889;2.082699873;3.999411088;4.173239635;3.310014893;0;3.029237838;3.347937106
4.23030303;2.085558257;4.015261434;4.207973137;3.315704272;0;3.036705128;3.356648836
4.271717172;2.088361135;4.030573605;4.241505794;3.32122619;0;3.044024178;3.365044518
4.313131313;2.091110255;4.045382367;4.273866157;3.326589578;0;3.051199672;3.373139465
4.354545455;2.093807288;4.059718768;4.305083293;3.331802686;0;3.058236087;3.380948203
4.395959596;2.096453832;4.073610735;4.335185538;3.336873149;0;3.065137701;3.3884845
4.437373737;2.099051415;4.08708354;4.364200254;3.341808045;4.413551901;3.071908609;3.395761397
4.478787879;2.1016015;4.100160172;4.392154017;3.346613945;4.42757214;3.07855273;3.402791238
4.52020202;2.10410549;4.112861635;4.419072966;3.35129696;4.440319302;3.085073821;3.409585703
4.561616162;2.106564729;4.125207194;4.444983155;3.355862783;4.452064459;3.091475479;3.416155839
4.603030303;2.108980504;4.137214579;4.469910858;3.360316721;4.462980163;3.097761159;3.422512094
4.644444444;2.111354053;4.148900157;0;3.364663734;4.473190011;3.103934171;3.428664347
4.685858586;2.113686563;4.16027908;4.516926244;3.36890846;4.482788222;3.109997697;3.43462194
4.727272727;2.115979174;4.171365411;4.539069139;3.373055245;4.491849457;3.115954793;3.440393703
4.768686869;2.118232981;4.18217223;4.560340016;3.377108162;4.500434466;3.121808394;3.445987989
4.81010101;2.120449038;4.192711733;4.580767959;3.381071038;4.508593652;3.127561326;3.451412696
4.851515152;2.122628358;4.202995309;4.600382486;3.38494747;4.516369461;3.133216305;3.456675295
4.892929293;2.124771915;4.213033618;4.619213411;3.388740844;4.523798069;3.138775946;3.461782854
4.934343434;2.12688065;4.222836653;4.637290678;3.392454352;4.530910614;3.144242768;3.466742063
4.975757576;2.128955465;4.232413797;4.654644208;3.396091003;4.537734122;3.149619195;3.471559256
5.017171717;2.130997232;4.241773873;4.671303727;3.399653641;4.544292219;3.154907567;3.476240429
5.058585859;2.133006791;4.250925191;4.687298623;3.403144954;4.550605691;3.160110137;3.480791263
5.1;2.134984952;4.259875588;4.702657795;3.406567485;4.556692925;3.165229079;3.485217142
